Country,FrxnPeaceIn10,ODA4H2OPcptaDol,RenewResm3PcptaYr,SustAccImprWatRur,SustAccImprWatUrb,SustAccImprSanRur,SustAccImprSanUrb,TotHlthExpPctofGDP,GenGovtPctofTotHlthExp,ExtResHlthPctTotExpHlth,PCptaGovtExpHlthAvgExcRt,GDPPCptaIntDol,AdultLtrcyRate,FemaleLtrcyRate,BurdenOfDisease
Afghanistan,0.1,0.16,2986,0.10891,0.18812,0.049505,0.15842,0.065,0.395,0.456,4,430,0.35644,0.20792,awful
Albania,1,5.58,13306,0.94059,0.9802,0.80198,0.9802,0.065,0.417,0.034,49,6158,0.85644,0.78713,low
Algeria,0,0.33,473,0.79208,0.91089,0.81188,0.9802,0.041,0.808,0.0005,71,4860,0.69307,0.60396,high
Angola,0.2,0.63,14009,0.39604,0.69307,0.15842,0.55446,0.028,0.842,0.067,22,1942,0.66139,0.53267,awful
Armenia,1,2.51,2780,0.79208,0.9802,0.60396,0.9505,0.06,0.202,0.172,11,5697,0.97624,0.9703,low
Australia,1,0,25708,0.9901,0.9901,0.9901,0.9901,0.095,0.675,0.0005,1699,31454,0.9802,0.9802,low
Azerbaijan,0.9,1.3,3765,0.58416,0.94059,0.35644,0.72277,0.036,0.238,0.019,8,4337,0.97822,0.97228,medium
Bahamas,1,0,66,0.85149,0.9703,0.9901,0.9901,0.064,0.475,0.002,533,19930,0.94653,0.95545,low
Bangladesh,1,0.47,8809,0.71287,0.81188,0.38614,0.74257,0.034,0.313,0.124,4,2098,0.42673,0.31485,high
Barbados,1,0.17,301,0.9901,0.9901,0.9901,0.9802,0.069,0.694,0.027,479,16240,0.98713,0.98713,low
Belize,1,0.78,82102,0.81188,0.9901,0.24752,0.70297,0.045,0.493,0.073,86,7151,0.93168,0.93168,medium
Benin,1,3.09,3954,0.59406,0.78218,0.11881,0.57426,0.044,0.431,0.115,9,836,0.33267,0.22376,awful
Bhutan,1,2.87,45564,0.59406,0.85149,0.69307,0.64356,0.031,0.835,0.186,9,2035,0.46535,0.33663,high
Bolivia,1,4.17,74743,0.67327,0.94059,0.22772,0.57426,0.067,0.64,0.073,39,2762,0.86337,0.80792,high
Bosnia and Herzegovina,1,3.42,9429,0.9505,0.9901,0.87129,0.9802,0.095,0.507,0.015,85,3845,0.93663,0.90198,low
Botswana,1,4.19,9345,0.89109,0.9901,0.24752,0.56436,0.056,0.582,0.029,135,7344,0.7901,0.81584,medium
Brazil,1,0.22,48314,0.57426,0.9505,0.34653,0.82178,0.076,0.453,0.003,96,8140,0.85545,0.85743,medium
Bulgaria,1,0,2680,0.9901,0.9901,0.9901,0.9901,0.075,0.545,0.01,104,8269,0.97624,0.97228,low
Burkina Faso,1,3.42,1084,0.43564,0.81188,0.049505,0.44554,0.056,0.468,0.074,9,1263,0.26337,0.16436,awful
Burundi,0,1.02,566,0.77228,0.89109,0.34653,0.46535,0.031,0.233,0.141,1,507,0.51089,0.44752,awful
Cambodia,0.7,1.08,36333,0.28713,0.57426,0.079208,0.52475,0.109,0.193,0.185,6,1839,0.72871,0.63465,awful
Cameroon,0.9,0.52,19192,0.40594,0.83168,0.32673,0.62376,0.042,0.289,0.032,11,1606,0.78218,0.72673,awful
Canada,1,0,94353,0.9802,0.9901,0.9802,0.9901,0.099,0.699,0.0005,1866,31389,0.9802,0.9802,low
Cape Verde,1,11.41,703,0.72277,0.85149,0.18812,0.60396,0.046,0.732,0.1,57,4244,0.75842,0.68515,high
Central African Republic,0.8,0.94,38849,0.60396,0.92079,0.11881,0.46535,0.04,0.386,0.029,5,1182,0.50495,0.39505,awful
Chad,0.3,1.72,5453,0.31683,0.39604,0.01,0.29703,0.065,0.399,0.118,7,1199,0.4703,0.38911,awful
Chile,1,0.24,60614,0.58416,0.9901,0.63366,0.9505,0.061,0.488,0.0005,137,12505,0.95248,0.95149,low
China,1,0.19,2258,0.67327,0.91089,0.28713,0.68317,0.056,0.362,0.001,22,5581,0.9,0.85644,medium
Colombia,0,0.14,50635,0.70297,0.9802,0.53465,0.9505,0.076,0.841,0.0005,116,7319,0.91584,0.91683,medium
Comoros,0.9,2.37,1700,0.9505,0.89109,0.14851,0.37624,0.027,0.541,0.405,6,985,0.55941,0.48812,high
Congo,0.6,0.14,276000,0.16832,0.71287,0.019802,0.13861,0.02,0.642,0.022,12,1223,0.8297,0.77624,high
Costa Rica,1,0.67,27932,0.91089,0.9901,0.9604,0.88119,0.073,0.788,0.027,240,8949,0.9505,0.95149,low
Cuba,1,0,3404,0.77228,0.94059,0.94059,0.9802,0.073,0.868,0.002,183,3649,0.9604,0.95941,low
Cyprus,1,0,995,0.9901,0.9901,0.9901,0.9901,0.064,0.491,0.023,510,15602,0.96634,0.95347,low
Cote dIvoire,0.7,0.59,5058,0.73267,0.9703,0.22772,0.60396,0.036,0.276,0.034,8,1602,0.50396,0.43168,awful
Democratic Peoples Republic of Korea,1,0.01,3464,0.9901,0.9901,0.59406,0.57426,0.058,0.912,0.191,500,1339,0.9802,0.9802,medium
Democratic Republic of the Congo,0.4,0.12,25183,0.28713,0.82178,0.22772,0.42574,0.04,0.183,0.151,1,382,0.64851,0.54554,awful
Djibouti,0.9,7.87,475,0.66337,0.81188,0.26733,0.54455,0.057,0.669,0.315,31,1323,0.67228,0.57822,awful
Dominican Republic,1,0.75,2507,0.84158,0.9703,0.42574,0.66337,0.07,0.332,0.015,44,4986,0.83861,0.8396,medium
Ecuador,1,1.73,34161,0.76238,0.91089,0.58416,0.79208,0.051,0.386,0.009,42,4620,0.91584,0.90099,medium
Egypt,0.7,2.49,859,0.9604,0.9901,0.55446,0.83168,0.058,0.426,0.009,24,4274,0.57129,0.46436,medium
El Salvador,1,1.39,4019,0.67327,0.90099,0.39604,0.77228,0.081,0.461,0.01,84,4793,0.79406,0.76931,medium
Equatorial Guinea,1,2.72,56893,0.41584,0.44554,0.45545,0.59406,0.015,0.675,0.055,65,15707,0.84851,0.77624,awful
Eritrea,0.5,0.84,1722,0.53465,0.71287,0.029703,0.33663,0.044,0.455,0.196,4,1132,0.5802,0.47129,high
Ethiopia,0,0.42,1749,0.10891,0.80198,0.039604,0.18812,0.059,0.584,0.26,3,381,0.42277,0.34752,awful
Finland,1,0,21268,0.9901,0.9901,0.9901,0.9901,0.074,0.765,0.0005,1766,30415,0.9901,0.9901,low
Gabon,1,4.39,133000,0.46535,0.94059,0.29703,0.36634,0.044,0.666,0.007,130,5942,0.62574,0.52772,high
Gambia,1,2.54,6140,0.76238,0.94059,0.45545,0.71287,0.081,0.4,0.218,8,1288,0.39703,0.32475,high
Georgia,0.9,0.13,12035,0.60396,0.89109,0.68317,0.9505,0.04,0.239,0.053,8,4829,0.9901,0.9901,low
Ghana,1,3.13,2756,0.67327,0.92079,0.45545,0.73267,0.045,0.318,0.158,5,2250,0.74059,0.66436,high
Guatemala,1,1.04,9773,0.91089,0.9802,0.51485,0.71287,0.054,0.397,0.038,44,4486,0.69901,0.62673,high
Guinea,0.8,2.41,27716,0.37624,0.77228,0.059406,0.24752,0.054,0.166,0.073,4,1809,0.35545,0.21683,awful
Guinea-Bissau,0.8,1.65,25855,0.48515,0.78218,0.22772,0.56436,0.056,0.458,0.268,4,815,0.4198,0.27129,awful
Guyana,1,8.04,317000,0.82178,0.82178,0.59406,0.85149,0.048,0.826,0.032,44,6198,0.97822,0.97525,high
Haiti,0.9,0.67,1723,0.58416,0.90099,0.22772,0.51485,0.075,0.381,0.124,10,1100,0.52376,0.50693,high
Honduras,1,4.69,14949,0.81188,0.9802,0.51485,0.88119,0.071,0.565,0.093,41,2748,0.75446,0.75545,high
Hungary,1,0,10433,0.9703,0.9901,0.84158,0.9901,0.084,0.724,0.004,495,15826,0.98416,0.98317,low
India,0,0.24,1880,0.81188,0.9505,0.17822,0.57426,0.048,0.248,0.016,7,1830,0.58911,0.47822,high
Indonesia,0.1,0.48,13381,0.68317,0.88119,0.37624,0.70297,0.031,0.359,0.014,11,3840,0.8703,0.82574,medium
Iran Islamic Republic of,0.4,0.003,1955,0.82178,0.9703,0.77228,0.85149,0.065,0.473,0.001,62,8367,0.78614,0.72277,medium
Iraq,0.3,2.48,3287,0.49505,0.9604,0.47525,0.94059,0.027,0.518,0.038,12,3554,0.4,0.24158,high
Jamaica,1,3.67,3651,0.86139,0.9703,0.67327,0.89109,0.053,0.506,0.012,83,4330,0.8703,0.90693,low
Japan,1,0,3383,0.9901,0.9901,0.9901,0.9901,0.079,0.81,0.0005,2158,30039,0.9802,0.9802,low
Jordan,1,12.42,179,0.90099,0.90099,0.84158,0.93069,0.094,0.452,0.042,80,4947,0.90396,0.85446,medium
Kazakhstan,1,1.23,6778,0.71287,0.9505,0.51485,0.86139,0.035,0.573,0.012,42,9982,0.97426,0.96733,low
Kenya,1,1.06,985,0.45545,0.88119,0.42574,0.55446,0.043,0.387,0.153,8,1586,0.84257,0.78911,high
Kyrgyzstan,1,0.55,4182,0.65347,0.9703,0.50495,0.74257,0.053,0.408,0.173,8,3287,0.97723,0.97129,medium
Lao Peoples Democratic Republic,1,1.78,63184,0.37624,0.65347,0.13861,0.60396,0.032,0.385,0.3,4,1878,0.65743,0.5495,awful
Lebanon,1,4.87,1261,0.9901,0.9901,0.86139,0.9901,0.102,0.293,0.001,168,7336,0.86535,0.81386,medium
Lesotho,0.9,3.96,1485,0.73267,0.87129,0.31683,0.60396,0.052,0.797,0.082,25,2152,0.8396,0.93564,awful
Liberia,0.6,0.04,79643,0.51485,0.71287,0.069307,0.48515,0.047,0.567,0.323,4,386,0.56931,0.41188,awful
Libyan Arab Jamahiriya,1,0,113,0.67327,0.71287,0.9505,0.9604,0.041,0.629,0.0005,108,7703,0.81782,0.71287,medium
Madagascar,1,0.56,21102,0.33663,0.74257,0.26733,0.48515,0.027,0.634,0.22,5,965,0.68218,0.61881,awful
Malawi,1,1.48,1528,0.61386,0.9505,0.41584,0.65347,0.093,0.352,0.251,5,519,0.62079,0.49307,awful
Maldives,1,2.01,103,0.77228,0.9802,0.41584,0.9901,0.062,0.89,0.004,121,6440,0.96238,0.96337,medium
Mali,1,2.07,8810,0.34653,0.75248,0.37624,0.58416,0.048,0.574,0.137,9,830,0.45941,0.39208,awful
Mauritania,1,3.74,4278,0.44554,0.62376,0.089109,0.63366,0.042,0.768,0.047,13,1531,0.41287,0.31584,awful
Mauritius,1,9.79,1904,0.9901,0.9901,0.9802,0.9901,0.037,0.608,0.01,105,12306,0.84752,0.81881,low
Mexico,0.9,0.46,4624,0.71287,0.9604,0.38614,0.89109,0.062,0.464,0.004,172,10158,0.91287,0.89604,low
Mongolia,1,1.6,13739,0.29703,0.86139,0.36634,0.74257,0.067,0.638,0.032,21,2373,0.96832,0.96535,high
Morocco,1,2.75,971,0.55446,0.9802,0.30693,0.82178,0.051,0.331,0.01,24,4557,0.51188,0.3901,medium
Mozambique,1,2.39,11814,0.23762,0.75248,0.13861,0.50495,0.047,0.617,0.408,7,1053,0.47327,0.32376,awful
Myanmar,0.2,0.02,21898,0.73267,0.94059,0.62376,0.9505,0.028,0.194,0.022,77,1949,0.84455,0.80594,high
Namibia,1,5.54,10211,0.71287,0.9703,0.13861,0.65347,0.064,0.7,0.053,101,5921,0.83168,0.82871,high
Nepal,0,1.69,9122,0.81188,0.92079,0.19802,0.67327,0.053,0.278,0.099,3,1277,0.48119,0.34554,high
Netherlands,1,0,5736,0.9802,0.9901,0.9901,0.9901,0.098,0.624,0.0005,1926,31143,0.9802,0.9802,low
Nicaragua,1,4.32,38787,0.64356,0.92079,0.50495,0.77228,0.077,0.484,0.112,29,2832,0.66832,0.67129,high
Niger,0.8,1.62,3107,0.35644,0.79208,0.039604,0.42574,0.047,0.53,0.328,5,650,0.17426,0.09604,awful
Nigeria,0.9,0.26,2514,0.48515,0.71287,0.29703,0.47525,0.05,0.255,0.053,6,1085,0.67327,0.6,awful
Oman,1,0.003,388,0.71287,0.80198,0.60396,0.9604,0.032,0.83,0.0005,231,13651,0.7505,0.66535,medium
Pakistan,0.2,0.41,1576,0.86139,0.94059,0.34653,0.91089,0.024,0.277,0.025,4,2151,0.48218,0.34851,high
Panama,1,0.23,51814,0.78218,0.9802,0.50495,0.88119,0.076,0.664,0.002,209,8103,0.91683,0.9099,medium
Papua New Guinea,0.9,0.79,167000,0.31683,0.87129,0.40594,0.66337,0.034,0.889,0.283,20,4008,0.6396,0.57129,high
Paraguay,1,0.87,61135,0.61386,0.9901,0.57426,0.93069,0.073,0.315,0.018,24,4276,0.93069,0.92079,medium
Peru,0.6,2.3,74546,0.65347,0.86139,0.32673,0.71287,0.044,0.483,0.032,47,5671,0.86832,0.81287,medium
Philippines,0,0.85,6332,0.76238,0.89109,0.60396,0.80198,0.032,0.437,0.038,14,5856,0.91683,0.91782,medium
Qatar,1,0,94,0.9901,0.9901,0.9901,0.9901,0.027,0.739,0.0005,637,27284,0.88119,0.87723,low
Republic of Moldova,1,0.61,2712,0.87129,0.9604,0.51485,0.85149,0.072,0.545,0.025,18,2709,0.98119,0.97723,low
Romania,1,0,9445,0.15842,0.90099,0.09901,0.85149,0.061,0.629,0.038,100,9884,0.97426,0.96733,low
Russian Federation,0.2,0,30980,0.87129,0.9802,0.69307,0.92079,0.056,0.59,0.002,98,10865,0.98614,0.98515,low
Rwanda,0.4,1.32,683,0.68317,0.91089,0.37624,0.55446,0.037,0.435,0.545,3,893,0.69703,0.64059,awful
Sao Tome and Principe,1,4.34,15797,0.72277,0.88119,0.19802,0.31683,0.086,0.839,0.56,29,1139,0.78515,0.61386,high
Senegal,0.4,4.24,4182,0.53465,0.89109,0.33663,0.69307,0.051,0.418,0.154,12,1232,0.39802,0.30396,high
Sierra Leone,0.5,1.03,36322,0.45545,0.74257,0.29703,0.52475,0.035,0.583,0.155,4,1039,0.29307,0.20297,awful
Slovakia,1,0,9279,0.9901,0.9901,0.9901,0.9901,0.059,0.883,0.0005,318,14310,0.98614,0.98614,low
South Africa,1,0.39,1154,0.72277,0.9703,0.43564,0.85149,0.084,0.386,0.005,114,8506,0.85545,0.84851,high
Sri Lanka,0.2,2.98,2642,0.71287,0.9802,0.88119,0.9703,0.035,0.45,0.023,14,3800,0.91386,0.89109,low
Sudan,0,0.14,2074,0.63366,0.77228,0.23762,0.49505,0.043,0.432,0.022,9,1361,0.60495,0.5,high
Suriname,1,11.26,293000,0.72277,0.9703,0.75248,0.9802,0.079,0.458,0.07,83,4329,0.87129,0.83267,medium
Swaziland,1,2.1,4876,0.41584,0.86139,0.43564,0.77228,0.058,0.573,0.055,61,5893,0.80792,0.8,high
Sweden,1,0,19679,0.9901,0.9901,0.9901,0.9901,0.094,0.852,0.0005,2684,30336,0.9802,0.9802,low
Switzerland,1,0,7462,0.9901,0.9901,0.9901,0.9901,0.115,0.585,0.0005,2945,34087,0.9802,0.9802,low
Syrian Arab Republic,1,0.39,1622,0.63366,0.93069,0.55446,0.9604,0.051,0.482,0.002,28,2449,0.76139,0.63366,medium
Tajikistan,0.7,0.29,2625,0.46535,0.92079,0.46535,0.70297,0.044,0.208,0.149,2,1816,0.98416,0.98119,high
Thailand,0.7,0.77,6527,0.79208,0.94059,0.9901,0.9604,0.033,0.616,0.003,47,8373,0.77426,0.7,medium
Togo,1,1.04,3247,0.35644,0.79208,0.14851,0.70297,0.056,0.248,0.023,4,1123,0.60297,0.46436,high
Trinidad and Tobago,1,0.43,2968,0.87129,0.91089,0.9901,0.9901,0.039,0.378,0.014,120,14903,0.97624,0.9703,low
Tunisia,1,5.45,482,0.59406,0.93069,0.61386,0.89109,0.054,0.457,0.004,63,8162,0.73564,0.64653,medium
Turkey,0,1.44,3439,0.86139,0.9505,0.61386,0.93069,0.076,0.716,0.0005,184,7688,0.85644,0.77921,medium
Turkmenistan,1,0.03,5218,0.53465,0.92079,0.49505,0.76238,0.039,0.674,0.004,60,5947,0.97822,0.97327,medium
Uganda,0,1.46,2833,0.51485,0.86139,0.38614,0.52475,0.073,0.304,0.285,5,1088,0.69208,0.59802,awful
Ukraine,1,0,2815,0.93069,0.9901,0.9604,0.9901,0.057,0.659,0.001,40,6216,0.98713,0.98614,low
United Republic of Tanzania,1,1.4,2591,0.61386,0.91089,0.40594,0.53465,0.043,0.554,0.219,7,732,0.77426,0.7,awful
United States of America,0.6,0,7407,0.9901,0.9901,0.9901,0.9901,0.152,0.446,0.0005,2548,39901,0.9802,0.9802,low
Uzbekistan,0.8,0.19,2026,0.83168,0.9604,0.47525,0.72277,0.055,0.43,0.03,9,3125,0.98317,0.9802,low
Venezuela Bolivarian Republic of,1,0.18,51021,0.69307,0.84158,0.47525,0.70297,0.045,0.443,0.001,65,6104,0.92475,0.92178,medium
Viet Nam,1,1.85,11406,0.66337,0.92079,0.25743,0.83168,0.054,0.278,0.026,7,3298,0.89406,0.8604,medium
Yemen,1,2.18,223,0.67327,0.73267,0.13861,0.75248,0.055,0.409,0.088,13,1653,0.49703,0.29703,awful
Zambia,1,2.94,10095,0.35644,0.89109,0.31683,0.67327,0.054,0.514,0.447,11,1013,0.79802,0.74059,awful
Zimbabwe,1,1.28,1584,0.73267,0.9901,0.50495,0.68317,0.079,0.359,0.068,14,1588,0.89802,0.86337,high
